landscape_id,wild_biodiversity,ecological_connectivity,ecosystem_services,climate_resilience,community_nature_reciprocity,abiotic_integrity,anthropogenic_pressure,fne_score,score_label,wild_biodiversity_confidence,ecological_connectivity_confidence,ecosystem_services_confidence,climate_resilience_confidence,community_nature_reciprocity_confidence,abiotic_integrity_confidence,anthropogenic_pressure_confidence,confidence,data_coverage_pct
ls_03282,4.57,1.88,3.39,4.17,4.79,6.55,5.96,4.47,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03283,4.57,2.38,3.23,4.3,4.42,6.59,6.33,4.55,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03284,4.57,1.87,3.36,4.42,4.83,6.57,5.69,4.47,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03285,4.98,1.92,3.33,4.45,4.84,6.48,5.67,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03286,4.31,2.74,3.41,3.18,4.86,6.34,6.53,4.48,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03287,4.53,1.72,3.41,3.74,4.76,6.42,5.57,4.31,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03288,4.45,2.65,3.38,3.54,4.82,6.38,6.11,4.48,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03289,4.5,2.51,3.38,3.34,4.78,6.37,6.33,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03290,4.63,1.8,3.41,3.84,4.2,6.41,4.43,4.1,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03291,4.6,2.4,3.31,4.27,4.29,6.45,5.17,4.36,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03292,4.38,2.67,3.52,3.42,4.66,6.38,5.87,4.41,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03293,4.82,2.22,3.66,3.93,4.64,6.53,5.4,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03294,4.17,2.33,3.47,4.22,4.68,6.47,5.46,4.4,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03295,4.91,2.69,3.49,4.47,4.76,6.49,5.77,4.65,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03296,4.38,1.69,3.57,4.42,4.58,6.58,5.02,4.32,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03297,4.42,2.49,3.52,4.28,4.83,6.56,6.03,4.59,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03298,4.28,1.99,3.54,3.54,4.59,6.4,5.38,4.25,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03299,4.54,1.26,3.55,3.65,4.45,6.46,4.43,4.05,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03300,5.34,1.41,3.2,3.8,4.83,6.25,5.38,4.32,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03301,5.46,1.43,3.31,3.96,4.71,6.31,5.23,4.34,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03302,6.02,2.41,2.83,4.14,4.98,6.05,7.01,4.78,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03303,5.26,2.18,3.29,3.61,4.93,6.33,6.02,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03304,4.69,2.26,3.33,3.95,4.54,6.43,5.53,4.39,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03305,5.03,1.49,3.29,4.56,4.57,6.51,4.57,4.29,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03306,4.91,1.05,3.27,4.18,5.06,6.48,4.65,4.23,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03307,5.01,1.67,3.35,4.36,4.94,6.61,5.51,4.49,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03308,4.75,2.15,3.41,3.51,4.96,6.47,5.96,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03309,4.97,2.12,3.43,4.22,4.79,6.49,5.31,4.48,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03310,4.97,1.15,3.36,5.28,3.07,6.53,2.81,3.88,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03311,4.82,1.95,3.5,4.31,4.69,6.61,5.34,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03312,4.74,2.51,3.45,4.51,4.92,6.62,6.1,4.69,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03313,4.74,2.11,3.44,3.95,4.7,6.49,5.64,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03314,4.74,1.95,3.58,3.95,4.54,6.46,5.21,4.35,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03315,4.93,1.56,3.24,3.53,4.98,6.35,5.44,4.29,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03316,5.4,2.13,2.81,3.21,4.89,6.05,6.59,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03317,5.23,3.03,2.76,4.65,4.64,6.04,7.77,4.87,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03318,4.97,1.51,3.29,4.85,3.11,6.25,2.35,3.76,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03319,4.86,1.43,3.5,4.26,4.04,6.39,4.13,4.09,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03320,4.86,1.42,3.47,3.46,5.08,6.31,5.21,4.26,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03321,4.15,1.85,3.45,3.57,4.77,6.34,5.72,4.26,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03322,4.61,2.2,3.49,3.49,4.99,6.34,5.77,4.41,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03323,4.85,2.27,3.53,3.55,5.0,6.36,5.61,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03324,4.5,2.48,3.44,3.47,4.84,6.42,6.23,4.48,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03325,4.88,2.54,3.41,4.06,4.77,6.44,5.92,4.57,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03326,4.68,2.99,3.44,4.17,4.85,6.5,6.11,4.68,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03327,4.82,2.88,3.41,4.7,4.83,6.39,5.91,4.71,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03328,4.97,2.76,3.44,5.16,4.74,6.5,5.93,4.79,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03329,5.03,1.54,3.28,4.82,4.75,6.5,5.0,4.42,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03330,5.05,1.83,3.23,5.54,4.56,6.39,4.56,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03331,4.15,1.97,3.33,3.86,4.8,6.43,5.64,4.31,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03332,4.58,1.39,3.29,3.65,4.65,6.45,4.78,4.11,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03333,4.24,1.46,3.66,3.49,4.81,6.41,5.01,4.15,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03334,4.67,1.39,3.48,4.32,4.51,6.37,4.56,4.19,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03335,4.43,1.44,3.24,3.35,5.04,6.3,5.33,4.16,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03336,4.4,1.97,3.19,3.9,5.03,6.3,5.86,4.38,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03337,4.89,2.06,2.79,2.91,5.05,6.06,6.35,4.3,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03338,4.96,1.91,2.92,3.06,5.05,6.04,6.12,4.29,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03339,4.21,2.39,2.86,3.37,4.99,6.03,6.53,4.34,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03340,4.41,1.83,3.14,2.71,5.02,6.1,5.79,4.14,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03341,4.52,2.0,3.48,2.94,4.69,6.33,5.99,4.28,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03342,4.4,1.52,3.38,3.58,4.62,6.26,5.66,4.2,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03343,3.79,2.29,3.43,3.21,5.06,6.41,5.89,4.3,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03344,4.01,1.77,3.4,3.25,4.92,6.35,5.72,4.2,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03345,4.48,2.18,3.39,4.28,4.44,6.44,4.84,4.29,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03346,4.62,2.08,3.22,4.9,4.02,6.36,4.35,4.22,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03347,4.31,1.82,3.34,4.79,4.45,6.39,4.79,4.27,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03348,4.89,1.63,3.34,5.0,4.93,6.37,4.98,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03349,4.57,1.55,3.4,4.98,4.84,6.28,4.77,4.34,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03350,4.9,1.19,3.37,4.61,4.94,6.43,4.86,4.33,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03351,4.43,1.24,3.36,3.39,4.79,6.33,4.89,4.06,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03352,4.94,1.11,3.43,4.02,4.76,6.35,4.68,4.18,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03353,4.4,1.95,3.34,3.6,5.03,6.36,5.81,4.36,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03354,4.98,1.24,3.4,4.42,4.13,6.36,4.09,4.09,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03355,4.24,2.12,3.25,4.0,4.96,6.29,6.25,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03356,5.03,2.27,3.21,4.36,4.83,6.27,6.36,4.62,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03357,5.2,1.95,3.06,3.33,4.71,6.04,5.86,4.31,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03358,5.09,2.0,3.35,3.17,4.94,6.14,5.87,4.37,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03359,4.67,1.27,3.58,3.37,4.26,6.21,4.04,3.91,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03360,4.43,2.52,3.19,3.34,4.78,6.3,6.5,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03361,4.56,2.0,3.29,4.12,4.46,6.4,4.87,4.24,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03362,4.53,1.31,3.55,4.36,5.06,6.44,4.91,4.31,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03363,4.87,1.12,3.56,4.23,4.97,6.43,4.73,4.27,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03364,4.69,1.43,3.48,4.4,4.75,6.46,4.76,4.28,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03365,4.71,1.29,3.38,3.7,4.86,6.34,5.35,4.23,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03366,5.1,2.11,3.24,4.13,4.91,6.21,6.13,4.55,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03367,5.01,1.29,3.46,3.19,5.02,6.2,4.97,4.16,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03368,4.94,1.05,3.73,4.25,3.93,6.26,3.03,3.88,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03369,5.14,3.27,3.47,5.18,4.33,7.64,7.78,5.26,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03370,4.39,2.47,3.93,4.23,5.07,7.66,6.0,4.82,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03371,3.06,1.58,4.09,3.99,4.79,7.68,5.53,4.39,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03372,3.84,1.43,4.2,4.78,4.92,7.76,5.14,4.58,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03373,4.13,1.62,4.17,4.99,4.99,7.77,5.25,4.7,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03374,4.88,1.86,3.86,4.52,5.0,7.7,5.72,4.79,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03375,4.93,2.36,3.77,4.48,4.92,7.58,6.08,4.87,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03376,4.62,2.04,3.83,4.41,4.75,7.67,5.55,4.7,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03377,4.64,2.01,3.8,3.92,4.75,7.68,5.69,4.64,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03378,4.54,1.39,4.19,4.05,4.38,7.62,4.37,4.36,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03379,4.92,1.18,4.15,4.23,4.71,7.71,4.64,4.51,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03380,4.91,1.27,4.56,5.47,4.39,7.72,3.73,4.58,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03381,5.01,1.38,4.49,5.32,4.23,7.74,3.73,4.56,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03382,5.01,1.58,3.72,3.9,4.96,7.68,5.65,4.64,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03383,4.97,1.11,3.86,3.86,4.99,7.71,5.0,4.5,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03384,4.54,1.16,4.31,4.67,4.78,7.75,4.59,4.54,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03385,4.68,1.41,4.64,5.54,3.95,7.8,3.6,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03386,4.81,1.7,3.7,4.92,4.88,7.65,5.81,4.78,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03387,4.81,1.37,3.69,4.35,5.06,7.71,5.36,4.62,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03388,4.65,1.43,4.12,4.24,4.73,7.73,4.86,4.54,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03389,4.86,1.23,4.39,4.72,4.55,7.75,4.42,4.56,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03390,4.72,1.21,4.55,5.39,3.82,7.81,3.39,4.41,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03391,4.59,1.39,4.68,5.15,4.09,7.76,3.83,4.5,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03392,5.17,2.7,3.45,5.71,4.5,7.82,7.17,5.22,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03393,4.9,2.11,3.65,5.71,4.88,7.8,6.26,5.04,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03394,4.67,1.18,3.67,5.5,4.81,7.72,5.36,4.7,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03395,4.36,0.89,3.85,4.95,4.8,7.7,4.61,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03396,4.32,1.0,3.91,4.91,5.08,7.72,4.94,4.55,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03397,4.55,1.27,3.97,4.95,4.73,7.7,4.89,4.58,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03398,3.73,1.1,4.31,4.62,4.67,7.69,4.61,4.39,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03399,4.18,1.18,4.38,4.62,4.8,7.75,4.7,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03400,4.36,1.09,4.32,4.95,4.72,7.73,4.58,4.54,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03401,4.83,1.09,4.42,4.56,4.04,7.78,3.8,4.36,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03402,4.54,1.38,4.45,4.75,4.06,7.81,4.06,4.44,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03403,4.67,1.29,4.49,4.92,4.1,7.86,3.92,4.46,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03404,4.24,2.18,4.55,5.05,4.06,7.9,4.62,4.66,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03405,4.68,1.72,4.89,5.5,4.11,7.83,4.07,4.69,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03406,4.6,2.7,4.88,5.27,4.55,7.77,5.36,5.02,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03407,4.92,1.75,3.55,5.93,4.76,7.72,6.05,4.95,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03408,4.55,1.33,4.17,5.2,4.77,7.74,4.89,4.66,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03409,4.01,1.45,4.56,5.09,4.4,7.76,4.5,4.54,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03410,3.97,1.57,4.52,5.32,4.34,7.81,4.49,4.57,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03411,4.31,1.82,4.61,4.87,4.55,7.91,4.78,4.69,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03412,4.6,1.83,4.39,5.27,4.02,8.01,4.22,4.62,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03413,4.59,2.82,4.58,5.21,4.37,7.88,5.55,5.0,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03414,4.82,2.64,3.7,5.3,5.02,7.65,6.51,5.09,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03415,4.3,1.57,4.1,4.88,4.99,7.77,5.23,4.69,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03416,4.26,1.65,4.0,5.14,5.0,7.84,5.35,4.75,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03417,3.85,1.74,4.47,4.83,4.57,7.83,4.92,4.6,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03418,4.07,1.93,4.33,4.91,4.42,7.86,4.98,4.64,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03419,4.1,1.79,4.51,4.47,4.3,7.86,4.6,4.52,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03420,4.51,1.76,4.46,4.77,4.44,7.84,4.6,4.63,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03421,4.33,1.82,4.58,5.05,3.93,7.87,4.11,4.53,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03422,4.06,2.37,4.38,4.24,4.26,7.76,5.21,4.61,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03423,4.68,1.86,4.42,5.52,3.88,8.01,3.96,4.62,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03424,4.87,2.11,4.22,6.81,4.47,7.91,5.01,5.06,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03425,4.26,2.56,3.66,5.11,5.07,7.69,6.53,4.98,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03426,4.63,1.49,3.96,5.19,4.97,7.83,5.17,4.75,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03427,4.17,1.65,4.08,4.65,5.02,7.76,5.22,4.65,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03428,4.28,1.64,4.25,5.08,4.36,7.89,4.62,4.59,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03429,4.26,1.75,4.22,4.77,4.73,7.85,5.17,4.68,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03430,3.94,1.92,4.3,4.53,4.54,7.89,5.13,4.61,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03431,4.02,1.73,4.35,4.65,4.4,7.93,4.72,4.54,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03432,3.89,1.51,4.28,4.43,4.49,7.89,4.64,4.45,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03433,4.14,1.47,4.21,4.47,4.74,7.97,4.86,4.55,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03434,4.87,2.49,4.74,6.41,4.85,8.43,5.59,5.34,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03435,4.1,2.6,4.6,5.79,4.71,7.97,5.43,5.03,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,97.3
ls_03436,4.87,2.73,3.6,5.7,5.01,7.68,6.51,5.16,Moderate,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03437,3.11,2.45,3.83,5.23,5.05,7.78,6.33,4.83,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03438,4.06,1.86,4.0,4.55,4.29,7.78,4.96,4.5,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
ls_03439,4.26,2.07,4.11,4.64,4.7,7.98,5.47,4.75,Stressed,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,96.0
